Series Name;Series Code;Country Name;Country Code;2017;2018;2019;2020;2021
GDP (current US$);NY.GDP.MKTP.CD;Afghanistan;AFG;187.534.696.302.586;180.532.285.788.878;187.994.507.427.823;201.161.373.258.206;..
GDP (current US$);NY.GDP.MKTP.CD;Albania;ALB;130.196.893.366.919;151.564.323.098.977;154.018.307.540.773;151.318.662.705.936;182.600.434.998.068
GDP (current US$);NY.GDP.MKTP.CD;Algeria;DZA;170.097.014.589.134;174.910.878.623.049;171767403748.19;145009181490.62;167.983.141.738.311
GDP (current US$);NY.GDP.MKTP.CD;American Samoa;ASM;612000000;639000000;648000000;709000000;..
GDP (current US$);NY.GDP.MKTP.CD;Andorra;AND;300.016.208.111.976;32.184.198.969.641;315.514.934.780.639;28.910.011.493.611;332.991.072.376.078
GDP (current US$);NY.GDP.MKTP.CD;Angola;AGO;689.727.637.871.547;777.929.400.771.193;693.091.048.066.311;53.619.071.176.139;725.469.857.085.707
GDP (current US$);NY.GDP.MKTP.CD;Antigua and Barbuda;ATG;146.797.777.777.778;160.594.444.444.444;168.753.333.333.333;137.028.148.148.148;147.112.592.592.593
GDP (current US$);NY.GDP.MKTP.CD;Argentina;ARG;643.628.665.302.155;524.819.742.918.669;452.818.426.182.658;389.591.035.520.675;491.492.700.657.012
GDP (current US$);NY.GDP.MKTP.CD;Armenia;ARM;115.274.585.657.334;124.579.419.070.333;136.192.913.612.814;12.641.209.802.112;138.611.838.735.931
GDP (current US$);NY.GDP.MKTP.CD;Aruba;ABW;309.217.877.094.972;320.223.463.687.151;331.005.586.592.179;249.664.804.469.274;..
GDP (current US$);NY.GDP.MKTP.CD;Australia;AUS;1326882872011.46;1428529571351.06;1391952510370.48;1327836171068.51;1542659899992.54
GDP (current US$);NY.GDP.MKTP.CD;Austria;AUT;417.261.151.844.977;455.168.151.938.941;445011872704.47;433.258.467.676.515;477.082.467.454.295
GDP (current US$);NY.GDP.MKTP.CD;Azerbaijan;AZE;408.655.589.123.867;471.129.411.764.706;481.742.352.941.176;42693000000;546.221.764.705.882
GDP (current US$);NY.GDP.MKTP.CD;Bahamas, The;BHS;12357600000;12755800000;13192800000;9699500000;11208600000
