Country,Scale,Base Year,2017,2018,2019,2020,2021
"Afghanistan, Islamic Rep. of",Millions,,"1.285.460,00","1.327.690,00","1.469.600,00","1.547.290,00",...
Albania,Millions,,"1.550.645,49","1.636.731,32","1.691.903,43","1.644.077,27",...
Algeria,Millions,,"18.876.175,60","20.393.524,41","20.501.058,34","18.383.799,92","22.021.515,43"
"Andorra, Principality of",Millions,,"2.655,76","2.725,27","2.818,42","2.531,09","2.815,42"
Angola,Millions,,"20.262.300,00","25.627.742,12","30.833.488,64","33.756.462,30",...
Anguilla,Millions,,"767,38","865,31","1.024,88","697,79","719,46"
Antigua and Barbuda,Millions,,"3.963,54","4.336,05","4.556,34","3.699,95",...
Argentina,Millions,,"10.660.228,50","14.744.810,70","21.558.444,10","27.195.699,00","46.282.066,00"
"Armenia, Rep. of",Millions,,"5.564.493,30","6.017.035,20","6.543.321,80","6.181.902,60","6.982.962,50"
"Aruba, Kingdom of the Netherlands",Millions,,"5.535,00","5.732,00","5.383,38","4.060,68",...
Australia,Millions,,"1.802.704,00","1.895.315,00","1.994.937,00","1.969.032,00","2.175.682,00"
Austria,Millions,,"369.361,87","385.423,95","397.518,54","379.320,56","402.710,86"
"Azerbaijan, Rep. of",Millions,,"70.337,80","81.092,00","82.896,20","72.432,20",...
"Bahamas, The",Millions,,"12.380,20","12.743,80","13.165,40","9.705,20",...
"Bahrain, Kingdom of",Millions,,"13.338,14","14.157,91","14.466,12","13.059,91",...
Bangladesh,Millions,,"19.758.154,00","22.504.810,00","25.424.840,00","27.393.324,00",...
Barbados,Millions,,"9.886,60","9.781,50","10.210,00","8.514,00",...
"Belarus, Rep. of",Millions,,"105.748,20","122.319,70","134.732,10","149.720,80",...
Belgium,Millions,,"445.050,10","460.091,70","478.238,90","456.731,50","506.205,00"
Belize,Millions,,"3.717,06","3.831,80","3.965,04","3.412,58",...
Benin,Millions,,"7.375.302,20","7.922.004,06","8.432.247,51","9.008.807,34",...
Bhutan,Millions,,"159.571,70","167.339,97","178.561,73","171.572,90",...
Bolivia,Millions,,"259.185,00","278.387,65","282.586,64","252.717,68",...
Bosnia and Herzegovina,Millions,,"31.376,24","33.444,08","35.295,75","34.254,96","37.324,39"
Botswana,Millions,,"166.473,50","172.525,30","178.480,40","172.552,40",...
Brazil,Millions,,"6.585.479,00","7.004.141,00","7.389.131,00","7.467.616,40","8.679.489,60"
Brunei Darussalam,Millions,,"16.747,44","18.300,66","18.374,99","16.564,44",...
Bulgaria,Millions,,"102.740,64","109.964,19","120.395,23","119.951,09","132.744,28"
Burkina Faso,Millions,,"8.191.299,00","8.920.421,28","9.369.187,71","9.997.387,36",...
Burundi,Millions,,"5.485.068,00","5.414.485,00","5.559.586,34","5.821.376,84",...
Cabo Verde,Millions,,"173.097,40","183.697,95","195.202,29","164.910,71",...
Cambodia,Millions,,"89.830.524,85","99.544.274,79","110.014.048,20","103.511.610,00",...
Cameroon,Millions,,"20.960.870,00","22.203.330,00","23.243.660,00","23.486.470,00",...
Canada,Millions,,"2.140.641,00","2.235.675,00","2.311.294,00","2.206.764,00","2.493.129,00"
Cayman Islands,Millions,,"4.305,22","4.602,00","4.946,28",...,...
Central African Rep.,Millions,,"1.203.324,00","1.233.635,00",...,...,...
Chad,Millions,,"5.854.572,30","6.127.318,18","6.406.367,22","6.227.925,27",...
Chile,Millions,,"179.314.910,10","189.434.867,40","195.816.484,60","200.343.720,60","240.633.267,30"
"China, P.R.: Hong Kong",Millions,,"2.659.611,00","2.835.429,00","2.844.843,00","2.675.708,00","2.869.682,00"
"China, P.R.: Macao",Millions,,"404.966,00","446.429,00","445.119,00","194.398,00",...
"China, P.R.: Mainland",Millions,,"83.203.600,00","91.928.110,00","98.651.520,00","101.356.700,00","114.366.970,00"
Colombia,Millions,,"920.470.999,90","987.791.000,10","1.060.068.000,00","998.719.000,00","1.177.224.742,70"
"Comoros, Union of the",Millions,,"469.217,00","495.235,00","525.167,00","526.820,00",...
"Congo, Dem. Rep. of the",Millions,,"55.676.093,13","76.495.500,37","83.048.340,00","90.181.047,76",...
"Congo, Rep. of",Millions,,"6.453.235,43","7.577.812,67","7.493.809,07","5.936.526,54",...
Costa Rica,Millions,,"34.187.929,10","35.823.235,80","36.738.757,90","35.278.047,40","39.442.867,50"
Côte d'Ivoire,Millions,,"29.955.000,00","32.222.300,00","34.298.900,00","35.193.000,00",...
"Croatia, Rep. of",Millions,,"372.354,87","390.855,98","412.228,31","378.341,17","430.621,02"
Cyprus,Millions,,"20.245,30","21.612,60","23.009,90","21.617,90","23.436,70"
Czech Rep.,Millions,,"5.110.743,00","5.410.761,00","5.791.498,00","5.709.131,00","6.108.428,00"
Denmark,Millions,,"2.192.960,00","2.253.316,25","2.310.954,84","2.323.919,34","2.504.177,72"
Djibouti,Millions,,"491.700,00","535.400,00","594.700,00","611.300,00",...
Dominica,Millions,,"1.408,19","1.497,88","1.651,15","1.361,38",...
Dominican Rep.,Millions,,"3.802.655,77","4.235.846,77","4.562.235,08","4.456.657,38",...
Ecuador,Millions,,"104.295,86","107.562,01","108.108,01","99.291,12",...
"Egypt, Arab Rep. of",Millions,,"3.470.000,00","4.437.400,00","5.322.100,00","5.842.500,00",...
El Salvador,Millions,,"24.979,19","26.020,85","26.896,66","24.638,72",...
"Equatorial Guinea, Rep. of",Millions,,"7.084.543,00","7.274.689,04","6.689.508,95","5.768.440,49",...
"Eritrea, The State of",Millions,,"28.702,00","30.235,00","29.876,00","31.415,00",...
"Estonia, Rep. of",Millions,,"23.833,61","25.817,68","27.732,29","26.834,52","30.660,09"
"Eswatini, Kingdom of",Millions,,"60.325,00","60.579,00","66.137,00","68.174,00",...
"Ethiopia, The Federal Dem. Rep. of",Millions,,"1.832.785,96","2.200.120,59","2.690.751,35","3.374.349,17",...
Euro Area,Millions,,"11.223.238,18","11.600.863,86","11.984.439,13","11.409.458,05","12.268.572,88"
"Fiji, Rep. of",Millions,,"11.065,00","11.650,50","11.874,10","9.747,09",...
Finland,Millions,,"226.301,00","233.462,00","239.858,00","237.987,00","251.431,00"
France,Millions,,"2.297.242,00","2.363.306,00","2.437.635,00","2.310.469,00","2.500.870,00"
Gabon,Millions,,"8.669.100,00","9.368.900,00","9.886.900,00","8.816.100,00",...
"Gambia, The",Millions,,"70.142,19","80.445,80","90.793,76","94.269,38",...
Georgia,Millions,,"40.761,66","44.599,34","49.252,65","49.266,74",...
Germany,Millions,,"3.267.160,00","3.365.450,00","3.473.260,00","3.405.430,00","3.601.750,00"
Ghana,Millions,,"256.671,40","300.596,10","349.480,40",...,...
Greece,Millions,,"176.903,37","179.557,68","183.250,40","165.326,43","182.830,15"
Grenada,Millions,,"3.042,58","3.153,71","3.211,78","2.777,27",...
Guatemala,Millions,,"526.507,41","550.469,98","592.799,95","599.235,81",...
Guinea,Millions,,"93.833.883,94","98.155.900,59","114.103.765,41","135.321.915,49",...
Guinea-Bissau,Millions,,"853.553,00","836.013,00","843.475,00","824.054,00",...
Guyana,Millions,,"980.498,00","994.472,00","1.078.729,00","1.140.757,00",...
Haiti,Millions,,"986.919,15","1.076.412,65","1.244.013,99","1.449.887,87",...
Honduras,Millions,,"543.403,00","575.284,90","614.917,70","585.733,60","684.203,80"
Hungary,Millions,,"39.281.357,00","43.392.436,00","47.530.610,00","48.276.363,00","55.256.668,00"
Iceland,Millions,,"2.641.959,40","2.844.409,66","3.043.058,49","2.928.465,59","3.233.001,47"
India,Millions,,"166.281.300,00","186.830.700,00","197.358.000,00","191.841.400,00","228.065.100,00"
Indonesia,Millions,,"13.589.825.700,00","14.838.756.000,00","15.832.657.200,00","15.438.017.500,00","16.970.789.200,00"
"Iran, Islamic Rep. of",Millions,,"16.165.015.456,27","20.462.465.062,36","26.288.891.617,31","35.215.143.879,57",...
Iraq,Millions,,"227.348.973,01","268.160.751,68","276.532.747,55","201.828.060,36",...
Ireland,Millions,,"297.763,22","326.631,28","356.704,60","372.836,40","426.283,44"
Israel,Millions,,"1.278.840,90","1.341.580,80","1.418.448,80","1.401.406,40","1.558.213,60"
Italy,Millions,,"1.736.592,80","1.771.391,20","1.796.633,80","1.656.960,70","1.775.436,40"
Jamaica,Millions,,"1.895.025,00","2.027.251,00","2.110.433,00","1.978.530,94",...
Japan,Millions,,"553.073.000,00","556.293.700,00","558.491.200,00","538.001.600,00","541.940.500,00"
Jordan,Millions,,"29.400,00","30.481,85","31.597,06","31.025,27","32.156,27"
"Kazakhstan, Rep. of",Millions,,"54.378.860,00","61.819.540,00","69.532.630,00","70.714.080,00",...
Kenya,Millions,,"8.483.396,00","9.340.307,00","10.255.654,00","10.752.992,00",...
Kiribati,Millions,,"244,32","263,25","284,16","287,16",...
"Korea, Rep. of",Millions,,"1.835.698.200,00","1.898.192.500,00","1.924.498.100,00","1.940.726.200,00","2.071.658.000,00"
"Kosovo, Rep. of",Millions,,"6.356,46","6.671,51","7.056,16","6.771,60","7.816,58"
Kuwait,Millions,,"36.610,70","41.731,08","41.349,34","32.445,00",...
Kyrgyz Rep.,Millions,,"530.476,00","569.385,60","619.102,70","598.344,50",...
Lao People's Dem. Rep.,Millions,,"140.697.700,00","152.414.200,00","162.657.000,00","172.611.900,00",...
Latvia,Millions,,"26.984,43","29.153,56","30.647,22","29.456,82","32.866,51"
Lebanon,Millions,,"80.387.137,45","83.328.807,51","80.736.118,96","95.795.731,15",...
"Lesotho, Kingdom of",Millions,,"30.727,00","33.272,00","35.460,00","37.452,00",...
Liberia,Millions,,"374.268,86","470.223,22","574.244,32","581.688,97",...
Libya,Millions,,"41.855,38","57.400,69","54.719,74","26.613,61",...
Lithuania,Millions,,"42.276,30","45.514,80","48.859,87","49.507,22","55.383,12"
Luxembourg,Millions,,"58.168,78","60.362,21","62.704,17","64.221,14","73.313,48"
